

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
040.515  000.055  000.055: require('dapui.elements.repl')
040.567  000.048  000.048: require('dapui.elements.scopes')
040.730  000.150  000.150: require('dapui.components.scopes')
040.790  000.057  000.057: require('dapui.components.variables')
040.852  000.049  000.049: require('dapui.elements.stacks')
040.977  000.050  000.050: require('dapui.components.frames')
040.979  000.103  000.053: require('dapui.components.threads')
041.046  000.050  000.050: require('dapui.elements.watches')
041.110  000.053  000.053: require('dapui.components.watches')
041.191  000.067  000.067: require('dapui.elements.hover')
041.254  000.051  000.051: require('dapui.components.hover')
041.309  000.049  000.049: require('dapui.elements.console')
041.406  007.367  000.553: require('plugins.dapui')
042.164  000.149  000.149: sourcing /home/takuyamuk/.local/share/nvim/lazy/nvim-lspconfig/plugin/lspconfig.lua
043.292  000.058  000.058: require('Comment.config')
043.450  000.087  000.087: require('Comment.ft')
043.457  000.160  000.072: require('Comment.utils')
043.540  000.056  000.056: require('Comment.opfunc')
043.616  000.073  000.073: require('Comment.extra')
043.622  000.888  000.541: require('Comment.api')
043.717  001.052  000.164: sourcing /home/takuyamuk/.local/share/nvim/lazy/Comment.nvim/plugin/Comment.lua
043.852  000.050  000.050: require('Comment')
043.929  000.177  000.127: require('plugins.comment')
044.519  000.395  000.395: require('dap-python')
044.611  000.587  000.192: require('plugins/dap-python')
045.245  000.394  000.394: require('neodev')
045.572  000.321  000.321: require('neodev.config')
047.048  000.300  000.300: require('neodev.util')
047.079  000.743  000.443: require('neodev.lsp')
047.463  000.378  000.378: require('lspconfig.util')
048.183  000.054  000.054: require('lspconfig.async')
048.191  000.144  000.090: require('lspconfig.configs')
048.194  000.273  000.129: require('lspconfig')
048.283  000.086  000.086: require('lspconfig.server_configurations.lua_ls')
128.224  000.157  000.157: require('lspconfig.manager')
128.235  083.468  081.116: require('plugins/neodev')
129.034  000.065  000.065: require('vim.treesitter.language')
129.092  000.049  000.049: require('vim.func')
129.164  000.068  000.068: require('vim.func._memoize')
129.182  000.344  000.162: require('vim.treesitter.query')
129.243  000.058  000.058: require('vim.treesitter._range')
129.256  000.571  000.169: require('vim.treesitter.languagetree')
129.267  000.678  000.107: require('vim.treesitter')
129.670  000.400  000.400: require('rainbow-delimiters.config')
129.779  000.106  000.106: require('rainbow-delimiters.log')
129.952  000.067  000.067: require('rainbow-delimiters.util')
129.960  000.176  000.110: require('rainbow-delimiters.lib')
130.149  000.053  000.053: require('rainbow-delimiters.stack')
130.154  000.137  000.085: require('rainbow-delimiters.strategy.global')
130.170  000.205  000.067: require('rainbow-delimiters.default')
130.236  001.734  000.168: sourcing /home/takuyamuk/.local/share/nvim/lazy/Rainbow-delimiters.nvim/plugin/rainbow-delimiters.lua
130.869  000.064  000.064: sourcing /home/takuyamuk/.local/share/nvim/lazy/nvim-web-devicons/plugin/nvim-web-devicons.vim
131.982  000.136  000.136: sourcing /usr/share/nvim/runtime/plugin/editorconfig.lua
132.218  000.196  000.196: sourcing /usr/share/nvim/runtime/plugin/gzip.vim
132.374  000.112  000.112: sourcing /usr/share/nvim/runtime/plugin/man.lua
133.295  000.283  000.283: sourcing /usr/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
133.323  000.905  000.622: sourcing /usr/share/nvim/runtime/plugin/matchit.vim
133.554  000.181  000.181: sourcing /usr/share/nvim/runtime/plugin/matchparen.vim
134.011  000.412  000.412: sourcing /usr/share/nvim/runtime/plugin/netrwPlugin.vim
134.183  000.114  000.114: sourcing /usr/share/nvim/runtime/plugin/nvim.lua
134.414  000.184  000.184: sourcing /usr/share/nvim/runtime/plugin/rplugin.vim
134.611  000.095  000.095: sourcing /usr/share/nvim/runtime/plugin/shada.vim
134.689  000.028  000.028: sourcing /usr/share/nvim/runtime/plugin/spellfile.vim
134.914  000.138  000.138: sourcing /usr/share/nvim/runtime/plugin/tarPlugin.vim
135.072  000.102  000.102: sourcing /usr/share/nvim/runtime/plugin/tohtml.vim
135.136  000.022  000.022: sourcing /usr/share/nvim/runtime/plugin/tutor.vim
135.344  000.170  000.170: sourcing /usr/share/nvim/runtime/plugin/zipPlugin.vim
135.837  000.190  000.190: sourcing /home/takuyamuk/.local/share/nvim/lazy/indent-blankline.nvim/after/plugin/commands.lua
136.594  000.520  000.520: require('kanagawa')
137.536  000.120  000.120: require('kanagawa.utils')
141.253  003.860  003.740: sourcing /home/takuyamuk/.local/share/nvim/lazy/kanagawa.nvim/colors/kanagawa.vim
141.812  005.856  001.476: require('plugins/kanagawa')
141.953  000.135  000.135: require('plugins/indent-blankline')
143.685  000.658  000.658: require('lualine_require')
144.600  002.244  001.586: require('lualine')
145.923  000.345  000.345: require('kanagawa.colors')
146.477  000.116  000.116: require('kanagawa.lib.hsluv')
146.487  000.218  000.102: require('kanagawa.lib.color')
146.528  000.445  000.227: require('kanagawa.themes')
148.128  000.092  000.092: require('lualine.utils.mode')
150.026  000.073  000.073: require('nvim-navic.lib')
150.037  000.672  000.599: require('nvim-navic')
150.098  000.801  000.129: require('plugins.nvim-navic')
150.167  001.170  000.369: require('lualine.components.navic')
152.165  010.208  005.912: require('plugins/lualine')
153.566  000.076  000.076: require('nvim-treesitter.utils')
154.333  000.759  000.759: require('nvim-treesitter.parsers')
154.603  000.047  000.047: require('nvim-treesitter.compat')
154.806  000.150  000.150: require('nvim-treesitter.ts_utils')
154.814  000.208  000.058: require('nvim-treesitter.tsrange')
154.901  000.084  000.084: require('nvim-treesitter.caching')
154.912  000.415  000.076: require('nvim-treesitter.query')
